from,to,weigth
sp_1860_gasoline_3_commerce,sp_1880_gasoline_10_import_/_export,2.2722487449645996
sp_1860_gasoline_3_commerce,sp_1890_gasoline_4_taxes,0.17313575744628906
fr_1820_gasoline_0_politics,fr_1900_gasoline_1_politics,1.249180793762207
fr_1820_gasoline_0_politics,fr_1880_gasoline_3_politics,1.1353497505187988
fr_1820_gasoline_0_politics,fr_1930_gasoline_1_war,0.9817109107971191
fr_1820_gasoline_0_politics,fr_1930_gasoline_0_family,0.6487283706665039
fr_1820_gasoline_0_politics,fr_1890_gasoline_2_politics,0.5867123603820801
fr_1820_gasoline_0_politics,fr_1910_gasoline_3_politics,0.5716166496276855
fr_1820_gasoline_0_politics,fr_1850_gasoline_1_family,0.5704669952392578
fr_1820_gasoline_0_politics,fr_1850_gasoline_4_newspaper,0.5356864929199219
fr_1820_gasoline_0_politics,fr_1870_gasoline_5_war,0.46555519104003906
fr_1820_gasoline_0_politics,fr_1920_gasoline_8_politics,0.41140270233154297
fr_1820_gasoline_0_politics,fr_1870_gasoline_4_politics,0.3158383369445801
fr_1820_gasoline_0_politics,ger_1900_gasoline_0_sales,0.9115643501281738
fr_1820_gasoline_0_politics,fr_1920_gasoline_9_body,0.16056585311889648
fr_1820_gasoline_0_politics,ger_1910_gasoline_0_sales,0.9012961387634277
fr_1820_gasoline_0_politics,fr_1910_gasoline_1_random,0.10029172897338867
fr_1820_gasoline_0_politics,ger_1930_gasoline_2_sales,0.8404726982116699
fr_1820_gasoline_0_politics,ger_1900_gasoline_3_religion,0.8150734901428223
fr_1820_gasoline_0_politics,ger_1880_gasoline_12_sales,0.7355165481567383
fr_1820_gasoline_0_politics,ger_1910_gasoline_3_war,0.6963458061218262
fr_1820_gasoline_0_politics,ger_1910_gasoline_1_boats,0.656578540802002
fr_1820_gasoline_0_politics,ger_1910_gasoline_4_public_interest,0.6310501098632812
fr_1820_gasoline_0_politics,ger_1880_gasoline_8_random,0.5624213218688965
fr_1820_gasoline_0_politics,ger_1920_gasoline_0_politics,0.5538978576660156
fr_1820_gasoline_0_politics,ger_1880_gasoline_9_boats,0.5517387390136719
fr_1820_gasoline_0_politics,ger_1930_gasoline_6_random,0.5286688804626465
fr_1820_gasoline_0_politics,ger_1900_gasoline_1_family,0.4597029685974121
fr_1820_gasoline_0_politics,ger_1920_gasoline_4_family,0.456695556640625
fr_1820_gasoline_0_politics,ger_1880_gasoline_5_crime,0.44799184799194336
fr_1820_gasoline_0_politics,ger_1920_gasoline_1_companies,0.4357638359069824
fr_1820_gasoline_0_politics,ger_1920_gasoline_3_sales,0.4306216239929199
fr_1820_gasoline_0_politics,ger_1930_gasoline_0_international,0.39339637756347656
fr_1820_gasoline_0_politics,ger_1880_gasoline_1_family,0.34925222396850586
fr_1820_gasoline_0_politics,ger_1930_gasoline_5_stock,0.3462028503417969
fr_1820_gasoline_0_politics,ger_1880_gasoline_3_hiring,0.26326608657836914
fr_1820_gasoline_0_politics,ger_1930_gasoline_1_airplanes,0.25815343856811523
fr_1820_gasoline_0_politics,ger_1930_gasoline_3_boats,0.2264690399169922
fr_1820_gasoline_0_politics,ger_1930_gasoline_4_economy,0.20299863815307617
fr_1820_gasoline_0_politics,ger_1880_gasoline_11_taxes,0.18573713302612305
fr_1820_gasoline_0_politics,ger_1880_gasoline_7_race,0.15743780136108398
fr_1820_gasoline_1_newspaper,fr_1910_gasoline_1_random,1.545548915863037
fr_1820_gasoline_1_newspaper,fr_1930_gasoline_0_family,1.5193519592285156
fr_1820_gasoline_1_newspaper,fr_1850_gasoline_1_family,1.481069564819336
fr_1820_gasoline_1_newspaper,fr_1900_gasoline_1_politics,1.3750720024108887
fr_1820_gasoline_1_newspaper,fr_1920_gasoline_9_body,1.0435991287231445
